Name,StructureId,StructureType,InstallYear,TCACode,BrandModel,SupplierName,ContractorName,DesignerName,Cost,Comments,Area,DedicationContact,DedicationSuite,DedicationCivicNumber,DedicationStreetName,DedicationCity,DedicationProvince,DedicationPostalCode,DedicationPhone,DedicationInscription,DedicationDate,DedicationComments,OBJECTID,X,Y,Bowl Height,Type,Style,Colour/Material,Neighbourhood
Drinking Fountain,23,DRINKING FOUNTAIN,,,,,,,,,East Columbia Street at McBride Blvd,,,,,,,,,,,,10507,-122.8978024,49.21136691,99.5,Standard,Functionalist,Black,Glenbrooke South
Drinking Fountain,2014,DRINKING FOUNTAIN,,,,,,,,,Victoria Hill,,,,,,,,,,,,10509,-122.8985665,49.21385619,89,Standard,Functionalist,Black,Glenbrooke South
Drinking Fountain,2015,DRINKING FOUNTAIN,,,,,,,,,Queen's Park,,,,,,,,,,,,10510,-122.9022034,49.21308522,-,Dog,Functionalist,Black,Glenbrooke South
Drinking Fountain,2026,DRINKING FOUNTAIN,,,,,,,,,Terry Hughes Park,,,,,,,,,,,,10511,-122.9130371,49.22109413,94,Standard,Functionalist,Dark Blue,Glenbrooke North
Drinking Fountain,2016,DRINKING FOUNTAIN,,,,,,,,,Queen's Park,,,,,,,,,,,,10512,-122.9048102,49.21479575,98.5,Standard,Functionalist,Black,Glenbrooke South
Drinking Fountain,24,DRINKING FOUNTAIN,,,,,,,,"In stadium, behind fence",Queen's Park,,,,,,,,,,,,10513,-122.9048197,49.21360292,?,Standard,Functionalist,Dark Blue,Glenbrooke South
Drinking Fountain,86,DRINKING FOUNTAIN,,,,,,,,,Queen's Park,,,,,,,,,,,,10514,-122.9093299,49.21670086,100.5,Combo,Functionalist,Dark Blue,Glenbrooke South
Drinking Fountain,730,DRINKING FOUNTAIN,,,,,,,,,Moody Park,,,,,,,,,,,,10515,-122.9275998,49.21323116,95.5,Standard,Functionalist,Black,Kelvin
Drinking Fountain,2017,DRINKING FOUNTAIN,,,,,,,,,Westminster Pier Park,,,,,,,,,"Donated by the Rotary Club Of New Westminster June 16, 2012",16-Jun-12,,10516,-122.9048107,49.20359166,100.5,Combo,Functionalist,Grey,Downtown
Drinking Fountain,2018,DRINKING FOUNTAIN,,,,,,,,,Westminster Pier Park,,,,,,,,,,,,10517,-122.9046106,49.20374025,90 // 79,Standard,Wall Mounted,Metal,Downtown
Drinking Fountain,2019,DRINKING FOUNTAIN,,,,,,,,,Westminster Pier Park,,,,,,,,,"Donated by the Rotary Club Of New Westminster June 16, 2012",16-Jun-12,,10518,-122.9044416,49.20403344,102,Combo,Functionalist,Grey,Downtown
Drinking Fountain,2029,DRINKING FOUNTAIN,,,,,,,,,Queensborough Off-Leash Dog Area,,,,,,,,,,,,10519,-122.93045,49.19457049,-,Dog,Functionalist,Dark Blue,North Arm South
Drinking Fountain,2030,DRINKING FOUNTAIN,,,,,,,,,Port Royal Park,,,,,,,,,,,,10520,-122.923188,49.19495114,89,Combo,Functionalist,Black,North Arm South
Drinking Fountain,2031,DRINKING FOUNTAIN,,,,,,,,,Queensborough Perimeter Trail,,,,,,,,,,,,10521,-122.9256155,49.19166029,86.5,Standard,Functionalist,Black,North Arm South
Drinking Fountain,2032,DRINKING FOUNTAIN,,,,,,,,,Port Royal Park,,,,,,,,,,,,10522,-122.9230372,49.19440424,90,Combo,Functionalist,Black,North Arm South
Drinking Fountain,2033,DRINKING FOUNTAIN,,,,,,,,,Queensborough Perimeter Trail,,,,,,,,,,,,10523,-122.9258978,49.19668705,98,Combo,Modernist,Cement,North Arm South
Drinking Fountain,2034,DRINKING FOUNTAIN,,,,,,,,,Thompson's Landing Park,,,,,,,,,,,,10524,-122.9557264,49.17724334,97.5,Standard,Functionalist,Black,Queensborough
Drinking Fountain,2027,DRINKING FOUNTAIN,,,,,,,,,West Side Off-Leash Dog Area,,,,,,,,,,,,10525,-122.9503828,49.19838312,-,Dog,Functionalist,Dark Blue,North Arm North
Drinking Fountain,2028,DRINKING FOUNTAIN,,,,,,,,,Grimston Park,,,,,,,,,,,,10527,-122.9438824,49.20208244,97.5,Standard,Functionalist,Black,Westend
Drinking Fountain,2020,DRINKING FOUNTAIN,,,,,,,,,Downtown Dog Off-Leash Area,,,,,,,,,,,,10528,-122.9149603,49.20192214,-,Dog,Functionalist,Dark Blue,Downtown
Drinking Fountain,2021,DRINKING FOUNTAIN,,,,,,,,,Royal Ave at Columbia Street,,,,,,,,,,,,10529,-122.9195047,49.20043808,79,Standard,Brutalist,Cement,Downtown
Drinking Fountain,2024,DRINKING FOUNTAIN,,,,,,,,,Mercer Stadium Park,,,,,,,,,,,,10530,-122.9265095,49.21779866,105.5,Tap,Wall Mounted,Metal,Kelvin
Drinking Fountain,2022,DRINKING FOUNTAIN,,,,,,,,,Hume Park,,,,,,,,,,,,10532,-122.8914287,49.23547,96.5,Standard,Functionalist,Black,Sapperton
Drinking Fountain,9000,DRINKING FOUNTAIN,,,,,,,,,Moody Park,,,,,,,,,,,,99000,-122.925013,49.211044,-,Dog,Basic,Black,Kelvin
Drinking Fountain,9001,DRINKING FOUNTAIN,,,,,,,,,Old Schoolhouse Park,,,,,,,,,,,,99001,-122.934228,49.191133,97.5,Standard,Functionalist,Black,Queensborough
Drinking Fountain,9002,DRINKING FOUNTAIN,,,,,,,,,Sukh Sagar Park,,,,,,,,,,,,99002,-122.939796,49.189366,102,Standard,Functionalist,Black,Queensborough
